Country,city_name,stat_date(周),Daily Orders
PE,Trujillo,2024-11-04 / 2024-11-10,-
PE,Lima,2024-11-04 / 2024-11-10,2318
MX,Carmen,2024-10-28 / 2024-11-03,217
MX,Las Choapas,2024-10-28 / 2024-11-03,89
MX,Orizaba,2024-10-28 / 2024-11-03,0
MX,Comitan de Dominguez,2024-10-28 / 2024-11-03,-
MX,Minatitlan,2024-10-28 / 2024-11-03,-
MX,Zamora,2024-10-28 / 2024-11-03,-
MX,Uruapan,2024-10-28 / 2024-11-03,0
MX,Chilpancingo de los Bravo,2024-10-28 / 2024-11-03,0
MX,La Piedad,2024-10-28 / 2024-11-03,-
MX,Tulancingo,2024-10-28 / 2024-11-03,-
MX,Abejones,2024-10-28 / 2024-11-03,-
MX,Apizaco,2024-10-28 / 2024-11-03,-
MX,Cordoba,2024-10-28 / 2024-11-03,536
MX,Tlaxcala,2024-10-28 / 2024-11-03,480
MX,Tehuacan,2024-10-28 / 2024-11-03,279
MX,Poza Rica de Hidalgo,2024-10-28 / 2024-11-03,158
MX,Tapachula,2024-10-28 / 2024-11-03,242
MX,Chetumal,2024-10-28 / 2024-11-03,198
MX,Merida,2024-10-28 / 2024-11-03,1243
MX,Oaxaca,2024-10-28 / 2024-11-03,1599
MX,Campeche,2024-10-28 / 2024-11-03,485
MX,Coatzacoalcos,2024-10-28 / 2024-11-03,250
MX,Villahermosa,2024-10-28 / 2024-11-03,1538
MX,Tuxtla Gutierrez,2024-10-28 / 2024-11-03,2297
MX,Acapulco,2024-10-28 / 2024-11-03,332
MX,Pachuca,2024-10-28 / 2024-11-03,424
MX,Veracruz,2024-10-28 / 2024-11-03,1222
MX,Morelia,2024-10-28 / 2024-11-03,2387
MX,Xalapa,2024-10-28 / 2024-11-03,320
MX,Solidaridad,2024-10-28 / 2024-11-03,223
MX,Cancun,2024-10-28 / 2024-11-03,1934
MX,Puebla,2024-10-28 / 2024-11-03,3151
MX,Cuernavaca,2024-10-28 / 2024-11-03,2169
MX,San Cristobal de las Casas,2024-10-28 / 2024-11-03,262
MX,Guaymas,2024-10-28 / 2024-11-03,0
MX,Navojoa,2024-10-28 / 2024-11-03,291
MX,Nogales(SON),2024-10-28 / 2024-11-03,0
MX,Tijuana,2024-10-28 / 2024-11-03,3322
MX,Guadalajara,2024-10-28 / 2024-11-03,12989
MX,Ciudad Obregon,2024-10-28 / 2024-11-03,1191
MX,Mazatlan,2024-10-28 / 2024-11-03,1012
MX,Los Cabos,2024-10-28 / 2024-11-03,738
MX,Puerto Vallarta,2024-10-28 / 2024-11-03,771
MX,Manzanillo,2024-10-28 / 2024-11-03,569
MX,Tepic,2024-10-28 / 2024-11-03,1757
MX,Ensenada,2024-10-28 / 2024-11-03,2525
MX,Hermosillo,2024-10-28 / 2024-11-03,1871
MX,Los Mochis-Guasave,2024-10-28 / 2024-11-03,903
MX,La Paz,2024-10-28 / 2024-11-03,1071
MX,Colima,2024-10-28 / 2024-11-03,1321
MX,Mexicali,2024-10-28 / 2024-11-03,4633
MX,Culiacan,2024-10-28 / 2024-11-03,2123
MX,San Miguel de Allende,2024-10-28 / 2024-11-03,0
MX,Guanajuato,2024-10-28 / 2024-11-03,-
MX,Valles City,2024-10-28 / 2024-11-03,-
MX,Piedras Negras,2024-10-28 / 2024-11-03,-
MX,Monclova,2024-10-28 / 2024-11-03,0
MX,Reynosa,2024-10-28 / 2024-11-03,0
