Country,city_name,stat_date(周),Traffic,Shop Enter UV,B P1,B P2,B P1*P2,B Cancel Rate,B Bad Rating Rate
MX,Solidaridad,2024-08-26 / 2024-09-01,31907,2226,6.98%,19.18%,1.34%,0.00%,2.04%
MX,Chetumal,2024-08-26 / 2024-09-01,6357,517,8.13%,11.41%,0.93%,7.14%,3.85%
MX,Carmen,2024-08-26 / 2024-09-01,11558,635,5.49%,11.18%,0.61%,2.90%,0.00%
MX,Tuxtla Gutierrez,2024-08-26 / 2024-09-01,194167,10543,5.43%,14.82%,0.80%,0.72%,1.68%
MX,Villahermosa,2024-08-26 / 2024-09-01,773796,51975,6.72%,20.08%,1.35%,0.67%,1.08%
MX,Cancun,2024-08-26 / 2024-09-01,647142,44437,6.87%,19.80%,1.36%,0.51%,1.61%
MX,Tapachula,2024-08-26 / 2024-09-01,13489,729,5.40%,22.91%,1.24%,1.23%,0.63%
MX,Oaxaca,2024-08-26 / 2024-09-01,400345,27546,6.88%,23.34%,1.61%,0.71%,0.79%
MX,Cuernavaca,2024-08-26 / 2024-09-01,531834,35193,6.62%,20.08%,1.33%,1.02%,1.60%
MX,Campeche,2024-08-26 / 2024-09-01,36904,1738,4.71%,12.26%,0.58%,1.47%,2.51%
MX,Tlaxcala,2024-08-26 / 2024-09-01,42112,2696,6.40%,17.06%,1.09%,3.46%,1.98%
MX,Morelia,2024-08-26 / 2024-09-01,437613,29882,6.83%,21.95%,1.50%,0.74%,1.86%
MX,Pachuca,2024-08-26 / 2024-09-01,122945,8021,6.52%,19.81%,1.29%,1.86%,1.87%
MX,Comitan de Dominguez,2024-08-26 / 2024-09-01,0,0,-,-,-,-,-
MX,Xalapa,2024-08-26 / 2024-09-01,72919,3607,4.95%,12.42%,0.61%,2.35%,0.99%
MX,San Cristobal de las Casas,2024-08-26 / 2024-09-01,22269,1141,5.12%,14.64%,0.75%,1.95%,1.34%
MX,Cordoba,2024-08-26 / 2024-09-01,68099,4735,6.95%,14.45%,1.00%,0.76%,1.09%
MX,Veracruz,2024-08-26 / 2024-09-01,252883,15944,6.30%,19.31%,1.22%,1.03%,1.12%
MX,Merida,2024-08-26 / 2024-09-01,499057,34145,6.84%,14.75%,1.01%,0.89%,1.51%
MX,Puebla,2024-08-26 / 2024-09-01,1292237,84404,6.53%,17.89%,1.17%,1.41%,1.81%
MX,Los Cabos,2024-08-26 / 2024-09-01,90531,6275,6.93%,20.64%,1.43%,0.56%,1.39%
MX,Manzanillo,2024-08-26 / 2024-09-01,40524,3319,8.19%,26.33%,2.16%,0.70%,1.10%
MX,Colima,2024-08-26 / 2024-09-01,98162,6275,6.39%,13.16%,0.84%,1.12%,1.16%
MX,La Paz,2024-08-26 / 2024-09-01,79961,5349,6.69%,19.11%,1.28%,0.80%,1.42%
MX,Puerto Vallarta,2024-08-26 / 2024-09-01,52346,3761,7.18%,23.32%,1.68%,1.04%,1.51%
MX,Nogales(SON),2024-08-26 / 2024-09-01,7,0,0.00%,-,0.00%,-,-
MX,Ensenada,2024-08-26 / 2024-09-01,292122,19331,6.62%,23.64%,1.56%,0.86%,1.20%
MX,Navojoa,2024-08-26 / 2024-09-01,22010,1476,6.71%,14.63%,0.98%,2.70%,1.69%
MX,Guaymas,2024-08-26 / 2024-09-01,0,0,-,-,-,-,-
MX,Ciudad Obregon,2024-08-26 / 2024-09-01,321901,22851,7.10%,18.60%,1.32%,0.58%,1.79%
MX,Tepic,2024-08-26 / 2024-09-01,268044,18677,6.97%,21.98%,1.53%,0.72%,1.08%
MX,Mazatlan,2024-08-26 / 2024-09-01,304249,20384,6.70%,19.85%,1.33%,1.08%,1.08%
MX,Culiacan,2024-08-26 / 2024-09-01,1265299,83997,6.64%,19.47%,1.29%,1.14%,1.27%
MX,Tijuana,2024-08-26 / 2024-09-01,1118448,68585,6.13%,20.28%,1.24%,1.07%,1.35%
MX,Mexicali,2024-08-26 / 2024-09-01,1491903,110407,7.40%,22.96%,1.70%,0.64%,1.09%
MX,Hermosillo,2024-08-26 / 2024-09-01,613175,42817,6.98%,19.88%,1.39%,0.71%,1.34%
MX,Los Mochis-Guasave,2024-08-26 / 2024-09-01,243951,15476,6.34%,17.17%,1.09%,0.91%,1.05%
