Country,city_name,stat_date(周),Daily GMV,GMV,R Burn,R Burn / GMV,R Burn / Order,B2C Total Burn,B2C / GMV,B2C / Order,B2C Acq Burn,B2C Eng Burn,B Burn,P2C Burn,P2C / GMV,P2C / Order,TED,TED / GMV,TED / Order
MX,Oaxaca,2024-09-02 / 2024-09-08,223361,1563526.6,346518,22.16%,56.94,56566,3.62%,9.29,1940,54627,0,32214,2.06%,5.29,435298,27.84%,71.52
MX,Cuernavaca,2024-09-02 / 2024-09-08,270221,1891546.0,521456,27.57%,80.98,57082,3.02%,8.87,1534,55548,46,36030,1.90%,5.60,614568,32.49%,95.44
MX,Campeche,2024-09-02 / 2024-09-08,7637,53458.6,9129,17.08%,43.27,1823,3.41%,8.64,115,1708,0,2312,4.32%,10.96,13263,24.81%,62.86
MX,Tlaxcala,2024-09-02 / 2024-09-08,16386,114703.4,18116,15.79%,42.93,2811,2.45%,6.66,146,2664,0,3342,2.91%,7.92,24269,21.16%,57.51
MX,Morelia,2024-09-02 / 2024-09-08,208954,1462676.9,274955,18.80%,42.40,43750,2.99%,6.75,1137,42613,0,55058,3.76%,8.49,373763,25.55%,57.64
MX,Pachuca,2024-09-02 / 2024-09-08,58765,411357.5,68976,16.77%,45.38,10495,2.55%,6.90,374,10121,0,11391,2.77%,7.49,90862,22.09%,59.78
MX,Cordoba,2024-09-02 / 2024-09-08,37754,264277.6,39208,14.84%,58.78,7887,2.98%,11.83,220,7668,0,6186,2.34%,9.27,53281,20.16%,79.88
MX,Comitan de Dominguez,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Xalapa,2024-09-02 / 2024-09-08,16480,115358.0,12144,10.53%,30.75,4690,4.07%,11.87,245,4445,0,3771,3.27%,9.55,20605,17.86%,52.17
MX,San Cristobal de las Casas,2024-09-02 / 2024-09-08,6047,42330.7,344,0.81%,2.21,1234,2.91%,7.91,15,1219,0,1941,4.59%,12.44,3519,8.31%,22.56
MX,Veracruz,2024-09-02 / 2024-09-08,102995,720963.3,127561,17.69%,42.31,28345,3.93%,9.40,795,27550,0,18721,2.60%,6.21,174627,24.22%,57.92
MX,Merida,2024-09-02 / 2024-09-08,192554,1347876.2,344678,25.57%,71.02,33845,2.51%,6.97,1093,32751,0,32964,2.45%,6.79,411486,30.53%,84.79
MX,Puebla,2024-09-02 / 2024-09-08,516683,3616780.0,797265,22.04%,55.65,129290,3.57%,9.02,4444,124846,0,82897,2.29%,5.79,1009452,27.91%,70.46
MX,Los Cabos,2024-09-02 / 2024-09-08,57760,404320.5,22773,5.63%,18.31,11683,2.89%,9.39,329,11354,0,18747,4.64%,15.07,53203,13.16%,42.77
MX,Manzanillo,2024-09-02 / 2024-09-08,34713,242989.4,17970,7.40%,21.24,12837,5.28%,15.17,575,12262,0,8711,3.58%,10.30,39519,16.26%,46.71
MX,Colima,2024-09-02 / 2024-09-08,28046,196325.4,5356,2.73%,7.58,5602,2.85%,7.92,90,5512,0,9553,4.87%,13.51,20511,10.45%,29.01
MX,La Paz,2024-09-02 / 2024-09-08,39786,278500.9,26341,9.46%,28.98,8172,2.93%,8.99,299,7872,0,7551,2.71%,8.31,42064,15.10%,46.28
MX,Puerto Vallarta,2024-09-02 / 2024-09-08,28191,197339.2,6187,3.14%,8.81,5900,2.99%,8.40,230,5670,0,3961,2.01%,5.64,16048,8.13%,22.86
MX,Nogales(SON),2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Ensenada,2024-09-02 / 2024-09-08,183375,1283627.3,196358,15.30%,43.56,30724,2.39%,6.82,783,29941,0,36218,2.82%,8.03,263300,20.51%,58.41
MX,Guaymas,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Navojoa,2024-09-02 / 2024-09-08,5649,39544.5,3324,8.41%,18.26,1027,2.60%,5.64,94,933,0,1621,4.10%,8.91,5972,15.10%,32.82
MX,Ciudad Obregon,2024-09-02 / 2024-09-08,148334,1038335.6,159646,15.38%,40.54,29951,2.88%,7.61,759,29192,0,35617,3.43%,9.04,225214,21.69%,57.19
MX,Tepic,2024-09-02 / 2024-09-08,157499,1102495.5,188053,17.06%,45.81,28341,2.57%,6.90,593,27748,0,28628,2.60%,6.97,245022,22.22%,59.69
MX,Mazatlan,2024-09-02 / 2024-09-08,130357,912497.3,63553,6.96%,17.50,19364,2.12%,5.33,899,18464,0,24477,2.68%,6.74,107393,11.77%,29.58
MX,Culiacan,2024-09-02 / 2024-09-08,608108,4256756.6,601376,14.13%,39.91,212916,5.00%,14.13,4212,208704,0,152973,3.59%,10.15,967265,22.72%,64.19
MX,Tijuana,2024-09-02 / 2024-09-08,628702,4400913.1,696643,15.83%,49.82,142605,3.24%,10.20,5606,136999,138,155557,3.53%,11.13,994805,22.60%,71.15
MX,Mexicali,2024-09-02 / 2024-09-08,1133883,7937177.9,1254680,15.81%,48.71,284341,3.58%,11.04,4596,279745,0,265855,3.35%,10.32,1804876,22.74%,70.08
MX,Hermosillo,2024-09-02 / 2024-09-08,323510,2264569.0,405496,17.91%,48.36,68474,3.02%,8.17,1405,67069,0,31578,1.39%,3.77,505549,22.32%,60.29
MX,Los Mochis-Guasave,2024-09-02 / 2024-09-08,105542,738791.2,94313,12.77%,36.87,35418,4.79%,13.85,856,34562,0,27270,3.69%,10.66,157002,21.25%,61.38
MX,Guadalajara,2024-09-02 / 2024-09-08,1951782,13662475.3,2237852,16.38%,42.27,398898,2.92%,7.53,8167,390730,503,481518,3.52%,9.09,3118267,22.82%,58.90
MX,Delicias,2024-09-02 / 2024-09-08,11016,77109.4,6819,8.84%,26.85,2479,3.21%,9.76,67,2412,0,2755,3.57%,10.84,12052,15.63%,47.45
MX,San Miguel de Allende,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Valles City,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Irapuato,2024-09-02 / 2024-09-08,42057,294401.1,44172,15.00%,43.09,9256,3.19%,9.03,454,8802,136,6745,2.29%,6.58,60173,20.44%,58.70
MX,Salamanca,2024-09-02 / 2024-09-08,8331,58317.0,6030,10.34%,30.46,1795,3.08%,9.07,7,1788,0,1049,1.80%,5.30,8875,15.22%,44.82
MX,Celaya,2024-09-02 / 2024-09-08,72080,504559.7,96650,19.16%,59.44,11937,2.37%,7.34,343,11594,0,11399,2.26%,7.01,119986,23.78%,73.79
MX,Matamoros,2024-09-02 / 2024-09-08,82266,575863.1,38422,6.67%,17.43,11271,1.96%,5.11,375,10896,0,14124,2.45%,6.41,63817,11.08%,28.96
MX,Nuevo Laredo,2024-09-02 / 2024-09-08,21917,153417.3,22991,14.99%,52.49,4200,2.74%,9.59,252,3948,0,4354,2.84%,9.94,31545,20.56%,72.02
MX,Piedras Negras,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Reynosa,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Torreon,2024-09-02 / 2024-09-08,185238,1296663.0,199594,15.39%,37.51,41322,3.19%,7.77,2872,38449,0,56388,4.35%,10.60,297304,22.93%,55.87
MX,Monclova,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Durango,2024-09-02 / 2024-09-08,370907,2596346.5,485813,18.71%,51.90,59467,2.29%,6.35,1132,58335,0,51355,1.98%,5.49,596635,22.98%,63.74
MX,Chihuahua,2024-09-02 / 2024-09-08,709540,4966782.5,697067,14.03%,38.15,165549,3.33%,9.06,5145,160404,0,197277,3.97%,10.80,1059893,21.34%,58.00
MX,San Juan del Río,2024-09-02 / 2024-09-08,34540,241780.8,37645,15.57%,50.67,38609,17.13%,51.96,2159,36450,2812,8463,3.50%,11.39,84717,35.04%,114.02
MX,Jaurez CHIH,2024-09-02 / 2024-09-08,1079390,7555729.6,1211179,16.03%,54.37,260824,3.45%,11.71,8455,252369,137,281398,3.72%,12.63,1753401,23.21%,78.72
MX,Victoria,2024-09-02 / 2024-09-08,50384,352690.0,69193,19.62%,57.18,7359,2.09%,6.08,158,7201,0,15617,4.43%,12.91,92169,26.13%,76.17
MX,Saltillo,2024-09-02 / 2024-09-08,184247,1289728.2,166498,12.91%,39.49,29239,2.27%,6.94,929,28310,11,39792,3.09%,9.44,235528,18.26%,55.87
MX,Monterrey,2024-09-02 / 2024-09-08,1884963,13194741.5,2341561,17.75%,53.66,205453,1.56%,4.71,3815,201637,4,628284,4.76%,14.40,3175297,24.06%,72.77
MX,Aguascalientes,2024-09-02 / 2024-09-08,150782,1055471.6,273266,25.89%,73.18,20490,1.94%,5.49,535,19955,0,25763,2.44%,6.90,319520,30.27%,85.57
