Country Code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Jaurez CHIH,SME,2024-11-25 / 2024-12-01,259.0
MX,Tuxtla Gutierrez,SME,2024-11-25 / 2024-12-01,125.0
MX,Villahermosa,SME,2024-11-25 / 2024-12-01,100.0
MX,Zacatecas,SME,2024-11-25 / 2024-12-01,39.0
MX,Ciudad Obregon,SME,2024-11-25 / 2024-12-01,77.0
MX,Saltillo,SME,2024-11-25 / 2024-12-01,78.0
MX,Tepic,SME,2024-11-25 / 2024-12-01,112.0
MX,Carmen,SME,2024-11-25 / 2024-12-01,16.0
MX,Tapachula,SME,2024-11-25 / 2024-12-01,17.0
MX,Tijuana,SME,2024-11-25 / 2024-12-01,199.0
MX,Culiacan,SME,2024-11-25 / 2024-12-01,143.0
MX,Matamoros,SME,2024-11-25 / 2024-12-01,93.0
MX,Nuevo Laredo,SME,2024-11-25 / 2024-12-01,39.0
MX,Hermosillo,SME,2024-11-25 / 2024-12-01,122.0
CO,Cali,CKA,2024-11-25 / 2024-12-01,107.0
CO,Cartagena,CKA,2024-11-25 / 2024-12-01,4.0
CO,Bucaramanga,CKA,2024-11-25 / 2024-12-01,14.0
CO,Medellín,CKA,2024-11-25 / 2024-12-01,298.0
CO,Barranquilla,CKA,2024-11-25 / 2024-12-01,63.0
CO,"Bogotá, D.C.",CKA,2024-11-25 / 2024-12-01,469.0
CO,"Bogotá, D.C.",SME,2024-11-25 / 2024-12-01,444.0
CO,Cali,SME,2024-11-25 / 2024-12-01,199.0
CO,Medellín,SME,2024-11-25 / 2024-12-01,366.0
CO,Bucaramanga,SME,2024-11-25 / 2024-12-01,31.0
CO,Barranquilla,SME,2024-11-25 / 2024-12-01,117.0
CO,Cartagena,SME,2024-11-25 / 2024-12-01,10.0
CO,Cúcuta,SME,2024-11-25 / 2024-12-01,8.0
CR,San Jose,CKA,2024-11-25 / 2024-12-01,103.0
CR,San Jose,SME,2024-11-25 / 2024-12-01,125.0
PE,Lima,CKA,2024-11-25 / 2024-12-01,73.0
PE,Lima,SME,2024-11-25 / 2024-12-01,118.0
MX,Poza Rica de Hidalgo,CKA,2024-11-18 / 2024-11-24,1.0
MX,Chetumal,CKA,2024-11-18 / 2024-11-24,1.0
MX,Tampico,CKA,2024-11-18 / 2024-11-24,35.0
MX,Tepic,CKA,2024-11-18 / 2024-11-24,36.0
MX,Guadalajara,CKA,2024-11-18 / 2024-11-24,484.0
MX,Cordoba,CKA,2024-11-18 / 2024-11-24,9.0
MX,Tehuacan,CKA,2024-11-18 / 2024-11-24,2.0
MX,Torreon,CKA,2024-11-18 / 2024-11-24,52.0
MX,Colima,CKA,2024-11-18 / 2024-11-24,8.0
MX,Mexicali,CKA,2024-11-18 / 2024-11-24,151.0
MX,Navojoa,CKA,2024-11-18 / 2024-11-24,2.0
MX,Aguascalientes,CKA,2024-11-18 / 2024-11-24,33.0
MX,Los Mochis-Guasave,CKA,2024-11-18 / 2024-11-24,22.0
MX,Hermosillo,CKA,2024-11-18 / 2024-11-24,64.0
MX,Acapulco,CKA,2024-11-18 / 2024-11-24,2.0
MX,Queretaro,CKA,2024-11-18 / 2024-11-24,82.0
MX,Delicias,CKA,2024-11-18 / 2024-11-24,3.0
MX,Tlaxcala,CKA,2024-11-18 / 2024-11-24,4.0
MX,Morelia,CKA,2024-11-18 / 2024-11-24,42.0
MX,Irapuato,CKA,2024-11-18 / 2024-11-24,7.0
MX,Jaurez CHIH,CKA,2024-11-18 / 2024-11-24,162.0
MX,Solidaridad,CKA,2024-11-18 / 2024-11-24,3.0
MX,San Cristobal de las Casas,CKA,2024-11-18 / 2024-11-24,2.0
MX,Toluca,CKA,2024-11-18 / 2024-11-24,60.0
MX,Puerto Vallarta,CKA,2024-11-18 / 2024-11-24,7.0
MX,Mexico City,CKA,2024-11-18 / 2024-11-24,757.0
MX,Mazatlan,CKA,2024-11-18 / 2024-11-24,31.0
MX,Xalapa,CKA,2024-11-18 / 2024-11-24,1.0
MX,Chihuahua,CKA,2024-11-18 / 2024-11-24,146.0
MX,Los Cabos,CKA,2024-11-18 / 2024-11-24,12.0
MX,Cuernavaca,CKA,2024-11-18 / 2024-11-24,65.0
MX,Saltillo,CKA,2024-11-18 / 2024-11-24,46.0
MX,Merida,CKA,2024-11-18 / 2024-11-24,47.0
MX,Ciudad Obregon,CKA,2024-11-18 / 2024-11-24,39.0
MX,Victoria,CKA,2024-11-18 / 2024-11-24,10.0
MX,Pachuca,CKA,2024-11-18 / 2024-11-24,15.0
MX,Durango,CKA,2024-11-18 / 2024-11-24,96.0
MX,Tijuana,CKA,2024-11-18 / 2024-11-24,128.0
MX,Tuxtla Gutierrez,CKA,2024-11-18 / 2024-11-24,14.0
MX,Nuevo Laredo,CKA,2024-11-18 / 2024-11-24,4.0
MX,Coatzacoalcos,CKA,2024-11-18 / 2024-11-24,3.0
MX,Cancun,CKA,2024-11-18 / 2024-11-24,57.0
MX,Oaxaca,CKA,2024-11-18 / 2024-11-24,51.0
MX,Zacatecas,CKA,2024-11-18 / 2024-11-24,10.0
MX,San Juan del Río,CKA,2024-11-18 / 2024-11-24,12.0
MX,Manzanillo,CKA,2024-11-18 / 2024-11-24,8.0
MX,Veracruz,CKA,2024-11-18 / 2024-11-24,22.0
MX,La Paz,CKA,2024-11-18 / 2024-11-24,9.0
MX,Celaya,CKA,2024-11-18 / 2024-11-24,11.0
MX,Matamoros,CKA,2024-11-18 / 2024-11-24,23.0
MX,Culiacan,CKA,2024-11-18 / 2024-11-24,123.0
