organization_type,country_code,city_name,stat_date(周),Daily Orders,R Burn / GMV,B2C / GMV,TED / GMV,Traffic,Shop Enter UV,B P1*P2,B Cancel Rate,AOP,ASP
Normal,CR,Liberia,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,CR,San Jose,2024-12-02 / 2024-12-08,2829,18.01%,0.029600000000000000,0.250600000000000000,2286766,139929,0.94%,1.99%,8725.0151000000000,6538.5230000000000
Normal,MX,Uruapan,2024-11-25 / 2024-12-01,0,-,-,-,0,0,-,-,-,-
Normal,MX,Pachuca,2024-11-25 / 2024-12-01,471,16.60%,0.022700000000000000,0.218400000000000000,345309,22260,1.05%,1.23%,238.1378000000000,186.1259000000000
Normal,MX,Guaymas,2024-11-25 / 2024-12-01,0,-,-,-,0,0,-,-,-,-
Normal,MX,Nogales(SON),2024-11-25 / 2024-12-01,0,-,-,-,1,0,0.00%,-,-,-
Normal,MX,Tijuana,2024-11-25 / 2024-12-01,3386,14.87%,0.025200000000000000,0.212900000000000000,2033863,148060,1.28%,1.61%,284.7004000000000,224.0860000000000
Normal,MX,Morelia,2024-11-25 / 2024-12-01,2478,17.63%,0.037300000000000000,0.254700000000000000,1366900,99877,1.32%,0.99%,226.7523000000000,168.9956000000000
Normal,MX,Monterrey,2024-11-25 / 2024-12-01,11353,18.93%,0.023900000000000000,0.258500000000000000,6625684,474840,1.26%,1.37%,277.7058000000000,205.9165000000000
Normal,MX,Mexicali,2024-11-25 / 2024-12-01,4864,15.33%,0.030800000000000000,0.218600000000000000,2618221,194795,1.37%,1.17%,284.9994000000000,222.6881000000000
Normal,MX,Las Choapas,2024-11-25 / 2024-12-01,86,26.35%,0.047400000000000000,0.348700000000000000,68093,4338,0.94%,1.42%,276.5546000000000,180.1115000000000
Normal,MX,Reynosa,2024-11-25 / 2024-12-01,0,-,-,-,0,0,-,-,-,-
Normal,MX,Salamanca,2024-11-25 / 2024-12-01,192,16.83%,0.051800000000000000,0.248700000000000000,110629,7956,1.31%,2.20%,266.5455000000000,200.2470000000000
Normal,MX,Puerto Vallarta,2024-11-25 / 2024-12-01,776,16.03%,0.024700000000000000,0.216600000000000000,416048,31912,1.41%,1.47%,277.9414000000000,217.7337000000000
Normal,MX,Comitan de Dominguez,2024-11-25 / 2024-12-01,-,-,-,-,-,-,-,-,-,-
Normal,MX,Solidaridad,2024-11-25 / 2024-12-01,230,12.06%,0.017000000000000000,0.195700000000000000,175826,11497,0.97%,1.26%,302.3873000000000,243.2053000000000
Normal,MX,San Miguel de Allende,2024-11-25 / 2024-12-01,0,-,-,-,6,0,0.00%,-,-,-
