Country Code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Hermosillo,CKA,2024-11-25 / 2024-12-01,71.0
MX,Leon,CKA,2024-11-25 / 2024-12-01,39.0
MX,Tuxtla Gutierrez,CKA,2024-11-25 / 2024-12-01,14.0
MX,Monterrey,CKA,2024-11-25 / 2024-12-01,401.0
MX,Acapulco,CKA,2024-11-25 / 2024-12-01,3.0
MX,Mexico City,CKA,2024-11-25 / 2024-12-01,760.0
MX,Celaya,CKA,2024-11-25 / 2024-12-01,11.0
MX,Torreon,CKA,2024-11-25 / 2024-12-01,52.0
MX,Queretaro,CKA,2024-11-25 / 2024-12-01,80.0
MX,Cancun,CKA,2024-11-25 / 2024-12-01,59.0
MX,Tijuana,CKA,2024-11-25 / 2024-12-01,127.0
MX,Aguascalientes,CKA,2024-11-25 / 2024-12-01,31.0
MX,Ensenada,CKA,2024-11-25 / 2024-12-01,35.0
MX,Nuevo Laredo,CKA,2024-11-25 / 2024-12-01,4.0
MX,Villahermosa,CKA,2024-11-25 / 2024-12-01,61.0
MX,Navojoa,CKA,2024-11-25 / 2024-12-01,3.0
MX,Mexicali,CKA,2024-11-25 / 2024-12-01,151.0
MX,Matamoros,CKA,2024-11-25 / 2024-12-01,24.0
MX,Colima,CKA,2024-11-25 / 2024-12-01,12.0
MX,La Paz,CKA,2024-11-25 / 2024-12-01,10.0
MX,Queretaro,SME,2024-11-25 / 2024-12-01,150.0
MX,Poza Rica de Hidalgo,SME,2024-11-25 / 2024-12-01,12.0
MX,Salamanca,SME,2024-11-25 / 2024-12-01,10.0
MX,Nuevo Laredo,SME,2024-11-25 / 2024-12-01,39.0
MX,Tuxtla Gutierrez,SME,2024-11-25 / 2024-12-01,125.0
MX,Cancun,SME,2024-11-25 / 2024-12-01,136.0
MX,Puerto Vallarta,SME,2024-11-25 / 2024-12-01,46.0
MX,Tepic,SME,2024-11-25 / 2024-12-01,112.0
MX,Pachuca,SME,2024-11-25 / 2024-12-01,20.0
MX,Toluca,SME,2024-11-25 / 2024-12-01,121.0
MX,Hermosillo,SME,2024-11-25 / 2024-12-01,122.0
MX,Acapulco,SME,2024-11-25 / 2024-12-01,22.0
MX,Campeche,SME,2024-11-25 / 2024-12-01,34.0
MX,Colima,SME,2024-11-25 / 2024-12-01,70.0
MX,Durango,SME,2024-11-25 / 2024-12-01,188.0
MX,Villahermosa,SME,2024-11-25 / 2024-12-01,100.0
MX,Oaxaca,SME,2024-11-25 / 2024-12-01,106.0
MX,San Luis Potosi,SME,2024-11-25 / 2024-12-01,138.0
MX,Zacatecas,SME,2024-11-25 / 2024-12-01,39.0
MX,Tijuana,SME,2024-11-25 / 2024-12-01,199.0
MX,Monterrey,SME,2024-11-25 / 2024-12-01,642.0
MX,Carmen,SME,2024-11-25 / 2024-12-01,16.0
MX,Morelia,SME,2024-11-25 / 2024-12-01,140.0
MX,Mexico City,SME,2024-11-25 / 2024-12-01,1422.0
MX,Tehuacan,SME,2024-11-25 / 2024-12-01,14.0
MX,San Juan del Río,SME,2024-11-25 / 2024-12-01,36.0
MX,Culiacan,SME,2024-11-25 / 2024-12-01,143.0
MX,Irapuato,SME,2024-11-25 / 2024-12-01,43.0
MX,Coatzacoalcos,SME,2024-11-25 / 2024-12-01,16.0
MX,Merida,SME,2024-11-25 / 2024-12-01,84.0
MX,San Cristobal de las Casas,SME,2024-11-25 / 2024-12-01,17.0
MX,Tlaxcala,SME,2024-11-25 / 2024-12-01,31.0
MX,Jaurez CHIH,SME,2024-11-25 / 2024-12-01,259.0
MX,Navojoa,SME,2024-11-25 / 2024-12-01,17.0
MX,Xalapa,SME,2024-11-25 / 2024-12-01,19.0
MX,Puebla,SME,2024-11-25 / 2024-12-01,217.0
MX,Las Choapas,SME,2024-11-25 / 2024-12-01,7.0
MX,Celaya,SME,2024-11-25 / 2024-12-01,45.0
MX,Saltillo,SME,2024-11-25 / 2024-12-01,78.0
MX,Solidaridad,SME,2024-11-25 / 2024-12-01,16.0
MX,Delicias,SME,2024-11-25 / 2024-12-01,31.0
MX,Los Mochis-Guasave,SME,2024-11-25 / 2024-12-01,54.0
