Country,city_name,stat_date(周),R Burn / GMV,B2C / GMV,P2C / GMV,TED / GMV
MX,La Paz,2024-08-26 / 2024-09-01,11.12%,2.46%,3.56%,17.14%
MX,Manzanillo,2024-08-26 / 2024-09-01,11.33%,2.15%,4.17%,17.66%
MX,Culiacan,2024-08-26 / 2024-09-01,17.77%,4.16%,5.01%,26.94%
MX,San Miguel de Allende,2024-08-26 / 2024-09-01,-,-,-,-
MX,Guanajuato,2024-08-26 / 2024-09-01,-,-,-,-
MX,Valles City,2024-08-26 / 2024-09-01,-,-,-,-
MX,Piedras Negras,2024-08-26 / 2024-09-01,-,-,-,-
MX,Nuevo Laredo,2024-08-26 / 2024-09-01,9.13%,1.46%,4.19%,14.78%
MX,Irapuato,2024-08-26 / 2024-09-01,10.30%,1.20%,3.18%,14.69%
MX,Chihuahua,2024-08-26 / 2024-09-01,13.49%,1.91%,4.62%,20.03%
MX,Aguascalientes,2024-08-26 / 2024-09-01,14.07%,2.50%,3.36%,19.93%
MX,Leon,2024-08-26 / 2024-09-01,18.21%,2.88%,4.36%,25.45%
MX,Salamanca,2024-08-26 / 2024-09-01,15.55%,3.97%,2.46%,21.98%
MX,Queretaro,2024-08-26 / 2024-09-01,16.91%,3.02%,4.40%,24.34%
MX,Celaya,2024-08-26 / 2024-09-01,10.78%,2.51%,3.40%,16.69%
MX,Victoria,2024-08-26 / 2024-09-01,17.98%,3.98%,4.80%,26.76%
MX,Matamoros,2024-08-26 / 2024-09-01,11.27%,2.11%,3.24%,16.61%
MX,Saltillo,2024-08-26 / 2024-09-01,10.37%,1.85%,4.19%,16.41%
MX,Delicias,2024-08-26 / 2024-09-01,8.52%,1.08%,4.27%,13.87%
MX,Monclova,2024-08-26 / 2024-09-01,-,-,-,-
MX,San Juan del Río,2024-08-26 / 2024-09-01,17.67%,4.21%,4.14%,25.99%
MX,Durango,2024-08-26 / 2024-09-01,13.99%,2.44%,3.02%,19.45%
MX,San Luis Potosi,2024-08-26 / 2024-09-01,11.89%,2.15%,3.76%,17.80%
MX,Jaurez CHIH,2024-08-26 / 2024-09-01,11.96%,2.32%,5.19%,19.47%
MX,Zacatecas,2024-08-26 / 2024-09-01,12.24%,2.67%,2.66%,17.57%
MX,Torreon,2024-08-26 / 2024-09-01,12.56%,2.29%,5.50%,20.35%
MX,Tampico,2024-08-26 / 2024-09-01,23.71%,5.12%,3.90%,32.72%
MX,Reynosa,2024-08-26 / 2024-09-01,-,-,-,-
MX,Monterrey,2024-08-26 / 2024-09-01,16.85%,2.63%,5.16%,24.64%
MX,Mexico City,2024-08-26 / 2024-09-01,15.44%,3.66%,5.62%,24.72%
MX,Toluca,2024-08-26 / 2024-09-01,16.51%,3.13%,3.40%,23.04%
CO,Santa marta,2024-08-26 / 2024-09-01,-,-,-,-
CO,Ibagué,2024-08-26 / 2024-09-01,-,-,-,-
CO,Valledupar,2024-08-26 / 2024-09-01,-,-,-,-
CO,Cartagena,2024-08-26 / 2024-09-01,16.74%,5.61%,25.21%,47.56%
CO,Cúcuta,2024-08-26 / 2024-09-01,20.50%,6.61%,17.62%,44.73%
CO,Bucaramanga,2024-08-26 / 2024-09-01,25.89%,5.03%,13.41%,44.33%
CO,Barranquilla,2024-08-26 / 2024-09-01,31.45%,4.91%,10.66%,47.02%
CO,Cali,2024-08-26 / 2024-09-01,25.39%,7.26%,10.17%,42.82%
CO,Pereira,2024-08-26 / 2024-09-01,-,-,-,-
CO,Manizales,2024-08-26 / 2024-09-01,-,-,-,-
CO,Villavicencio,2024-08-26 / 2024-09-01,-,-,-,-
CO,Medellín,2024-08-26 / 2024-09-01,25.18%,6.51%,9.58%,41.27%
CO,"Bogotá, D.C.",2024-08-26 / 2024-09-01,28.77%,5.23%,9.25%,43.25%
CR,Limon,2024-08-26 / 2024-09-01,-,-,-,-
CR,Liberia,2024-08-26 / 2024-09-01,-,-,-,-
CR,San Jose,2024-08-26 / 2024-09-01,19.58%,3.96%,4.59%,28.13%
PE,Arequipa,2024-08-26 / 2024-09-01,-,-,-,-
PE,Trujillo,2024-08-26 / 2024-09-01,-,-,-,-
PE,Lima,2024-08-26 / 2024-09-01,26.42%,5.96%,7.23%,39.61%
